0x6D	0x224E	#GEOMETRICALLY EQUIVALENT TO
0x6E	0x22D8	#VERY MUCH LESS-THAN
0x6F	0x22D9	#VERY MUCH GREATER-THAN
0x70	0x231C	#TOP LEFT CORNER
0x71	0x231D	#TOP RIGHT CORNER
0x72	0x24C7	#CIRCLED LATIN CAPITAL LETTER R
0x73	0x24C8	#CIRCLED LATIN CAPITAL LETTER S
0x74	0x22D4	#PITCHFORK
0x75	0x2214	#DOT PLUS
0x76	0x223D	#REVERSED TILDE
0x77	0x22CD	#REVERSED TILDE EQUALS
0x78	0x231E	#BOTTOM LEFT CORNER
0x79	0x231F	#BOTTOM RIGHT CORNER
0x7A	0x2720	#MALTESE CROSS
0x7B	0x2201	#COMPLEMENT
0x7C	0x22BA	#INTERCALATE
0x7D	0x229A	#CIRCLED RING OPERATOR
0x7E	0x229B	#CIRCLED ASTERISK OPERATOR
0x7F	0x229D	#CIRCLED DASH
